PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long
64,BD4 0ES,419293,0431816,E02002234,53.782317,-1.708687
65,BD4 0ET,419200,0431800,E02002234,53.782177,-1.7101
66,BD4 0EU,419200,0431800,E02002234,53.782177,-1.7101
67,BD4 0EW,419389,0431862,E02002234,53.782727,-1.707228
68,BD4 0EX,419200,0431800,E02002234,53.782177,-1.7101
69,BD4 0EY,419200,0431800,E02002234,53.782177,-1.7101
70,BD4 0EZ,419252,0431793,E02002234,53.782112,-1.709311
71,BD4 0HA,419189,0431814,E02002234,53.782303,-1.710266
72,BD4 0HB,419137,0431854,E02002234,53.782664,-1.711052
73,BD4 0HG,419701,0430830,E02002234,53.77344,-1.702558
74,BD4 0HH,419251,0430812,E02002234,53.773295,-1.709387
75,BD4 0HJ,419295,0430829,E02002234,53.773446,-1.708718
76,BD4 0HL,419285,0430732,E02002234,53.772574,-1.708876
77,BD4 0HN,419299,0430766,E02002234,53.772879,-1.708662
78,BD4 0HP,419355,0430740,E02002234,53.772644,-1.707813
79,BD4 0HQ,419607,0430917,E02002234,53.774225,-1.703979
80,BD4 0HR,419408,0430751,E02002234,53.772741,-1.707009
81,BD4 0HS,419387,0430705,E02002234,53.772328,-1.70733
82,BD4 0HT,419317,0430708,E02002234,53.772357,-1.708392
83,BD4 0HU,419295,0430676,E02002234,53.772071,-1.708728
84,BD4 0HW,419300,0430700,E02002234,53.772286,-1.70865
85,BD4 0HX,419308,0430638,E02002234,53.771729,-1.708533
86,BD4 0HY,419313,0430570,E02002234,53.771117,-1.708461
87,BD4 0HZ,419327,0430532,E02002234,53.770775,-1.708251
88,BD4 0JA,419303,0430520,E02002234,53.770668,-1.708616
89,BD4 0JB,419308,0430476,E02002234,53.770273,-1.708543
90,BD4 0JE,419230,0430422,E02002234,53.76979,-1.70973
91,BD4 0JF,419363,0430420,E02002234,53.769767,-1.707712
92,BD4 0JG,419233,0430448,E02002234,53.770024,-1.709683
93,BD4 0JN,419557,0430387,E02002234,53.769463,-1.704771
94,BD4 0JP,419518,0430428,E02002234,53.769833,-1.70536
95,BD4 0JQ,419352,0430471,E02002234,53.770241,-1.707879
96,BD4 0JR,419400,0430400,E02002234,53.769586,-1.707152
97,BD4 0JS,419470,0430478,E02002234,53.770285,-1.706085
98,BD4 0JT,419459,0430512,E02002234,53.770591,-1.70625
99,BD4 0JU,419425,0430494,E02002234,53.77043,-1.706767
100,BD4 0JW,419543,0430412,E02002234,53.769689,-1.704982
101,BD4 0JX,419365,0430518,E02002234,53.770648,-1.707676
102,BD4 0JY,419421,0430551,E02002234,53.770943,-1.706824
103,BD4 0JZ,419400,0430500,E02002234,53.770485,-1.707146
104,BD4 0LA,419403,0430581,E02002234,53.771213,-1.707095
105,BD4 0LB,419437,0430597,E02002234,53.771355,-1.706578
106,BD4 0LD,419464,0430642,E02002234,53.771759,-1.706166
107,BD4 0LE,419400,0430600,E02002234,53.771384,-1.707139
108,BD4 0LF,419429,0430629,E02002234,53.771643,-1.706698
109,BD4 0LG,419400,0430624,E02002234,53.771599,-1.707138
110,BD4 0LH,419452,0430672,E02002234,53.772029,-1.706346
111,BD4 0LJ,419484,0430746,E02002234,53.772693,-1.705856
112,BD4 0LL,419472,0430807,E02002234,53.773242,-1.706034
113,BD4 0LN,419498,0430832,E02002234,53.773465,-1.705638
114,BD4 0LQ,419409,0430645,E02002234,53.771788,-1.707
115,BD4 0LS,419550,0430878,E02002234,53.773877,-1.704846
116,BD4 0LT,419508,0430928,E02002234,53.774328,-1.70548
117,BD4 0LU,419539,0430938,E02002234,53.774416,-1.705009
118,BD4 0LW,419719,0430628,E02002234,53.771623,-1.702298
119,BD4 0LX,419563,0430943,E02002234,53.77446,-1.704645
120,BD4 0LY,419500,0430900,E02002234,53.774076,-1.705603
121,BD4 0LZ,419500,0430900,E02002234,53.774076,-1.705603
122,BD4 0NA,419600,0430800,E02002234,53.773174,-1.704092
123,BD4 0NB,419636,0430865,E02002234,53.773757,-1.703542
124,BD4 0ND,419629,0430786,E02002234,53.773047,-1.703653
125,BD4 0NE,419672,0430687,E02002234,53.772156,-1.703007
126,BD4 0NF,419727,0430716,E02002234,53.772429,-1.702174
127,BD4 0NG,419672,0430687,E02002234,53.772156,-1.703007
128,BD4 0NH,419700,0430700,E02002234,53.772271,-1.702582
129,BD4 0NJ,419672,0430790,E02002234,53.773081,-1.703001
130,BD4 0NL,419600,0430800,E02002234,53.773174,-1.704092
131,BD4 0NN,419731,0430810,E02002234,53.773259,-1.702104
132,BD4 0NP,419767,0430799,E02002234,53.773159,-1.701559
133,BD4 0NQ,419796,0430765,E02002234,53.772852,-1.701121
134,BD4 0NR,419785,0430855,E02002234,53.773661,-1.701282
135,BD4 0NS,419735,0430909,E02002234,53.774148,-1.702037
136,BD4 0NT,419715,0430903,E02002234,53.774095,-1.702341
137,BD4 0NU,419731,0430876,E02002234,53.773852,-1.7021
138,BD4 0NW,419750,0430774,E02002234,53.772935,-1.701818
139,BD4 0NX,419759,0430848,E02002234,53.773599,-1.701677
140,BD4 0NY,419558,0430643,E02002234,53.771764,-1.70474
141,BD4 0NZ,419700,0430800,E02002234,53.77317,-1.702575
142,BD4 0PA,419694,0430872,E02002234,53.773817,-1.702662
143,BD4 0PB,419670,0430922,E02002234,53.774268,-1.703023
144,BD4 0PD,419742,0430994,E02002234,53.774912,-1.701926
145,BD4 0PE,419466,0430912,E02002234,53.774185,-1.706119
146,BD4 0PF,419479,0430847,E02002234,53.773601,-1.705925
147,BD4 0PG,419365,0430788,E02002234,53.773075,-1.707659
148,BD4 0PH,419300,0430800,E02002234,53.773185,-1.708644
149,BD4 0PJ,419274,0430924,E02002234,53.7743,-1.709031
150,BD4 0PL,419363,0430927,E02002234,53.774324,-1.70768
151,BD4 0PN,419672,0430992,E02002234,53.774897,-1.702988
152,BD4 0PQ,419375,0430855,E02002234,53.773677,-1.707503
153,BD4 0PW,419617,0431095,E02002234,53.775825,-1.703816
154,BD4 0QE,419372,0430364,E02002234,53.769264,-1.707579
155,BD4 0QF,419901,0430880,E02002234,53.773882,-1.69952
156,BD4 0QQ,419821,0430942,E02002234,53.774442,-1.70073
157,BD4 0QU,419852,0430951,E02002234,53.774522,-1.700259
158,BD4 0QW,419899,0430810,E02002234,53.773252,-1.699555
159,BD4 0QX,419828,0431059,E02002234,53.775493,-1.700617
160,BD4 0QY,419891,0431009,E02002234,53.775041,-1.699664
161,BD4 0QZ,419764,0430953,E02002234,53.774543,-1.701594
162,BD4 0RA,419500,0431900,E02002234,53.783064,-1.705541
163,BD4 0RB,419512,0431883,E02002234,53.782926,-1.705363
164,BD4 0RD,419556,0431906,E02002234,53.783116,-1.70469
165,BD4 0RG,419778,0431615,E02002234,53.780492,-1.70134
166,BD4 0RH,419878,0431111,E02002234,53.775974,-1.699858
167,BD4 0RQ,419737,0431268,E02002234,53.777375,-1.701984
168,BD4 0SZ,419654,0430823,E02002234,53.773379,-1.703272
169,BD4 0TF,419782,0430644,E02002234,53.771765,-1.701341
170,BD4 0TG,419807,0430652,E02002234,53.771836,-1.700961
171,BD4 0TJ,419522,0431587,E02002234,53.78025,-1.705226
172,BD4 0TL,419417,0431487,E02002234,53.779355,-1.706826
173,BD4 0TN,419453,0431451,E02002234,53.77903,-1.706282
174,BD4 0TP,419472,0431397,E02002234,53.778544,-1.705997
175,BD4 0TQ,419841,0430732,E02002234,53.772554,-1.70044
176,BD4 0TW,419506,0431393,E02002234,53.778507,-1.705481
177,BD4 0YP,419654,0430823,E02002234,53.773379,-1.703272
178,BD4 0YR,419654,0430823,E02002234,53.773379,-1.703272
179,BD4 0YS,419800,0430700,E02002234,53.772268,-1.701064
180,BD4 0YT,419654,0430823,E02002234,53.773379,-1.703272
181,BD4 0YU,419655,0430815,E02002234,53.773307,-1.703257
182,BD4 0YY,419800,0430700,E02002234,53.772268,-1.701064
183,BD4 0YZ,419654,0430823,E02002234,53.773379,-1.703272
