PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long,closest_Supermarket,mean_closest_3_Supermarket,mean_closest_5_Supermarket,Supermarket_count400m,Supermarket_count800m,Supermarket_count1km,Supermarket_count1.6km,Supermarket_count2km
2859,BD128HS,415329,427215,E02002243,53.741094,-1.769072,0.369521650245261,1.3325743377030628,1.3325743377030628,1,1,1,1,3
2860,BD128HT,415223,427161,E02002243,53.740612,-1.770681,0.3677730958077019,1.3700380237343552,1.3700380237343552,1,1,1,1,3
2861,BD128HU,415206,427197,E02002243,53.740951,-1.77094,0.40702020834349123,1.3848481209225547,1.3848481209225547,0,1,1,1,3
2862,BD128HW,415058,427042,E02002243,53.739547,-1.773189,0.4191983420768536,1.1415983663170493,1.1415983663170493,0,1,1,1,2
2863,BD128HX,415174,427238,E02002243,53.741306,-1.77142,0.4589431882052248,1.408469685417597,1.408469685417597,0,1,1,1,3
2864,BD128HY,415011,427005,E02002243,53.739216,-1.773903,0.44888868330576503,1.1655208528888181,1.1655208528888181,0,1,1,1,2
2865,BD128HZ,415150,427129,E02002243,53.740327,-1.77179,0.39188958904260374,1.4058596712296523,1.4058596712296523,1,1,1,1,3
2866,BD128JA,415329,427027,E02002243,53.739405,-1.769081,0.19732371879728447,0.9184868407208754,0.9184868407208754,1,1,1,1,2
2867,BD128JB,415273,427056,E02002243,53.739667,-1.769928,0.2540394654379259,0.9776420049408935,0.9776420049408935,1,1,1,1,2
2868,BD128JE,415200,426900,E02002243,53.738267,-1.771043,0.23943193187207237,0.9530157319266429,0.9530157319266429,1,1,1,1,2
2869,BD128JG,415273,427032,E02002243,53.739451,-1.76993,0.23615937415226237,0.9611136425014153,0.9611136425014153,1,1,1,1,2
2870,BD128JH,415323,427106,E02002243,53.740115,-1.769168,0.2695664111123379,1.3119615171326169,1.3119615171326169,1,1,1,1,3
2871,BD128JJ,415239,427029,E02002243,53.739425,-1.770445,0.25887651496415737,0.9848405020430805,0.9848405020430805,1,1,1,1,2
2872,BD128JL,415332,427022,E02002243,53.73936,-1.769036,0.19149634461260637,0.9128176307980522,0.9128176307980522,1,1,1,1,2
2873,BD128JN,415262,427003,E02002243,53.739191,-1.770098,0.22456858640511,0.9506202938610022,0.9506202938610022,1,1,1,1,2
2874,BD128JP,415208,426984,E02002243,53.739022,-1.770917,0.2591363540686427,0.9837124856847975,0.9837124856847975,1,1,1,1,2
2875,BD128JQ,415281,427026,E02002243,53.739397,-1.769809,0.2262990278370385,0.9511866551002213,0.9511866551002213,1,1,1,1,2
2876,BD128JR,415155,426977,E02002243,53.73896,-1.771721,0.3041267005706471,1.0256931345761295,1.0256931345761295,1,1,1,1,2
2877,BD128JS,415135,426949,E02002243,53.738709,-1.772026,0.31377611445103487,1.0308268422671243,1.0308268422671243,1,1,1,1,2
2878,BD128JT,415241,426943,E02002243,53.738667,-1.770422,0.21166164036024965,0.9345702243356169,0.9345702243356169,1,1,1,1,2
2879,BD128JU,415220,426903,E02002243,53.738293,-1.770739,0.22026404609012573,0.9359838560030094,0.9359838560030094,1,1,1,1,2
2880,BD128JW,415043,426816,E02002243,53.737516,-1.773427,0.39591166944154726,1.076649894106633,1.076649894106633,1,1,1,1,2
2881,BD128JX,415110,426877,E02002243,53.738063,-1.772408,0.3266726955225852,1.0283278217077125,1.0283278217077125,1,1,1,1,2
2882,BD128JY,414974,426807,E02002243,53.737437,-1.774473,0.46548968839276317,1.139783569940768,1.139783569940768,0,1,1,1,2
2883,BD128JZ,415115,426847,E02002243,53.737808,-1.772337,0.3216225271960799,1.0159100882960979,1.0159100882960979,1,1,1,1,2
2884,BD128LA,414890,426885,E02002243,53.738141,-1.775743,0.5468095189368837,1.2357935842165266,1.2357935842165266,0,1,1,1,2
2885,BD128LB,415008,426730,E02002243,53.736744,-1.773962,0.4480031807922753,1.098641230476554,1.098641230476554,0,1,1,1,2
2886,BD128LD,415098,426781,E02002243,53.7372,-1.772595,0.3477226624768594,1.0200340381960578,1.0200340381960578,1,1,1,1,2
2887,BD128LE,415218,426781,E02002243,53.737197,-1.770776,0.2326350145614341,0.9102874374418033,0.9102874374418033,1,1,1,2,2
2888,BD128LF,415026,426775,E02002243,53.737148,-1.773687,0.4192982828488503,1.0862455422840225,1.0862455422840225,0,1,1,1,2
2889,BD128LG,414900,426700,E02002243,53.736478,-1.7756,0.5600603985285828,1.1976022672785702,1.1976022672785702,0,1,1,1,2
2890,BD128LH,414848,426713,E02002243,53.736611,-1.776391,0.6067284812830144,1.2473940336035725,1.2473940336035725,0,1,1,1,2
2891,BD128LJ,414843,426505,E02002243,53.734727,-1.776474,0.6921169337619205,1.2567708254223386,1.2567708254223386,0,1,1,1,2
2892,BD128LL,414801,426060,E02002243,53.730728,-1.777132,1.0226671257061226,1.4043936112260695,1.4043936112260695,0,0,0,1,2
2893,BD128LN,414698,425965,E02002243,53.729892,-1.7787,1.1613009299918884,1.5241589440251473,1.5241589440251473,0,0,0,1,2
2894,BD128LP,414852,425948,E02002243,53.72972,-1.776364,1.0842997971041168,1.4087400554313065,1.4087400554313065,0,0,0,1,2
2895,BD128LQ,414972,426691,E02002243,53.736395,-1.774509,0.4945812875554403,1.130083513028486,1.130083513028486,0,1,1,1,2
2896,BD128LR,414970,425813,E02002243,53.728504,-1.774582,1.147422437465835,1.3851643905179565,1.3851643905179565,0,0,0,1,2
2897,BD128LS,414932,426219,E02002243,53.732154,-1.775138,0.8166983837378511,1.2439515195344246,1.2439515195344246,0,0,1,1,2
