name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
New Inn,1020034,424196.5,429372.1,Church Street,"Morley, Leeds",West Yorkshire,LS27 7AE,Leeds District,NA,Restaurants
New Inn,1020034,421716,435165.7,Town Street,"Farsley, Pudsey",West Yorkshire,LS28 5HX,Leeds District,St Austell Brewery,Restaurants
Noble Comb,1020043,414894.4,437759,Salts Mill Road,Shipley,West Yorkshire,BD18 3ST,Bradford District,Hungry Horse,Restaurants
Ilkley Moor Vaults,1020043,411189.7,447994.4,Stockeld Road,Ilkley,West Yorkshire,LS29 9HD,Bradford District,NA,Restaurants
Horse & Jockey Inn,1020034,422283.2,426287.4,Low Lane,"Birstall, Batley",West Yorkshire,WF17 9HB,Kirklees District,NA,Restaurants
Menston Arms,1020034,416761.1,443944.2,Main Street,"Menston, Ilkley",West Yorkshire,LS29 6EY,Bradford District,NA,Restaurants
Harp of Erin,1020034,415807.4,433297.3,Westend Street,Bradford,West Yorkshire,BD1 2PN,Bradford District,NA,Restaurants
The Fairweather Green,1020034,413302,433405.6,Thornton Road,Bradford,West Yorkshire,BD8 0HJ,Bradford District,NA,Restaurants
Star Public House,1020034,415971.4,433301.5,Westgate,Bradford,West Yorkshire,BD1 2RD,Bradford District,NA,Restaurants
My Thai,1020043,415082.8,435494.6,Keighley Road,Bradford,West Yorkshire,BD9 4JZ,Bradford District,My Thai Restaurants,Restaurants
Coopers,1020043,419222.3,441853.9,Otley Road,"Guiseley, Leeds",West Yorkshire,LS20 8AH,Leeds District,Market Town Taverns,Restaurants
The Golden Fleece,1020034,408481.1,438311.4,Long Lane,"Harden, Bingley",West Yorkshire,BD16 1HP,Bradford District,NA,Restaurants
The Turf,1020034,415027.4,435527.1,Keighley Road,Bradford,West Yorkshire,BD9 4JR,Bradford District,Belhaven Pubs,Restaurants
Black Bull Inn,1020034,420234.5,445508.9,Market Place,Otley,West Yorkshire,LS21 3AQ,Leeds District,NA,Restaurants
Lamb Inn,1020034,403671.6,434510.2,Denholme Road,"Oxenhope, Keighley",West Yorkshire,BD22 9NU,Bradford District,NA,Restaurants
Second West,1020034,413953.4,432374.7,Cemetery Road,Bradford,West Yorkshire,BD7 2PA,Bradford District,NA,Restaurants
The Turkey Inn,1020034,402870,440593,Oakworth,Keighley,West Yorkshire,BD22 0PD,Bradford District,NA,Restaurants
Killinghall Fisheries,1020043,418573.5,433374.2,Killinghall Road,Bradford,West Yorkshire,BD3 8HN,Bradford District,NA,Restaurants
Wilsden Balti & Tandoori Ltd,1020043,405747.4,440386.4,Catherine Street,Keighley,West Yorkshire,BD21 1HB,Bradford District,NA,Restaurants
Springs Fast Food,1020018,415446.9,432506.5,Laisteridge Lane,Bradford,West Yorkshire,BD7 1RD,Bradford District,NA,Takeaways
Pearsons Fish Restaurant,1020043,409454.3,425023.6,Union Street,Halifax,West Yorkshire,HX1 1PR,Calderdale District,NA,Restaurants
Marquis of Granby,1020034,407934.9,442339.3,Hospital Road,"Riddlesden, Keighley",West Yorkshire,BD20 5EP,Bradford District,NA,Restaurants
Just Wok,1020018,424303.9,429117.8,Street Lane,"Morley, Leeds",West Yorkshire,LS27 7JB,Leeds District,NA,Takeaways
Cardemon,1020043,410612.9,439323,Main Street,Bingley,West Yorkshire,BD16 2JH,Bradford District,NA,Restaurants
Oriental Wok,1020018,418609.4,425177.4,Clarence Street,Cleckheaton,West Yorkshire,BD19 5HJ,Kirklees District,NA,Takeaways
Si Si Pizza,1020043,426392.6,431990.1,Lower Wortley Road,Leeds,West Yorkshire,LS12 4PZ,Leeds District,NA,Restaurants
Royal Kashmir Restaurant,1020043,415965,432715.2,Morley Street,Bradford,West Yorkshire,BD7 1AG,Bradford District,NA,Restaurants
Dick Hudsons,1020043,412474.1,442075.1,Otley Road,Bingley,West Yorkshire,BD16 3BA,Bradford District,Vintage Inns,Restaurants
The Black Horse,1020034,409895.1,432759,West Lane,"Thornton, Bradford",West Yorkshire,BD13 3HX,Bradford District,NA,Restaurants
The Wuthering Heights,1020034,401056.8,437065,Main Street,"Stanbury, Keighley",West Yorkshire,BD22 0HB,Bradford District,NA,Restaurants
The Railway Inn,1020034,422166,436888,Calverley Bridge,Leeds,West Yorkshire,LS13 1NR,Leeds District,NA,Restaurants
Raggalds,1020034,408802.9,431226.4,Brighouse & Denholme Road,"Queensbury, Bradford",West Yorkshire,BD13 1NA,Bradford District,Tadcaster Pub Company,Restaurants
The Yard Bar & Restaurant,1020034,411721,447746.6,Brook Street,Ilkley,West Yorkshire,LS29 8DE,Bradford District,NA,Restaurants
The Black Horse,1020034,416422,428315.6,Lockwood Street,"Low Moor, Bradford",West Yorkshire,BD12 0LS,Bradford District,NA,Restaurants
Brown Cow Inn,1020034,415086.5,431123.3,Little Horton Lane,Bradford,West Yorkshire,BD5 9EL,Bradford District,NA,Restaurants
The Station Hotel,1020034,408335,435637.4,Harecroft,"Wilsden, Bradford",West Yorkshire,BD15 0BP,Bradford District,NA,Restaurants
The Bulls Head,1020034,414293.8,431648,Great Horton Road,Bradford,West Yorkshire,BD7 3DL,Bradford District,NA,Restaurants
Emmott Arms,1020034,421544.1,439416.4,Town Street,"Rawdon, Leeds",West Yorkshire,LS19 6PP,Leeds District,NA,Restaurants
Fleece Inn,1020034,411756.7,431708.5,Clayton Lane,"Clayton, Bradford",West Yorkshire,BD14 6RE,Bradford District,NA,Restaurants
Angel,1020034,415528.2,439730.2,Northgate,"Baildon, Shipley",West Yorkshire,BD17 6LX,Bradford District,Greene King,Restaurants
Crown,1020034,413017.2,430935.1,Great Horton Road,Bradford,West Yorkshire,BD7 4AH,Bradford District,Greene King,Restaurants
The Ings,1020034,418470,442874,Guiseley,Leeds,West Yorkshire,LS20 9HR,Leeds District,NA,Restaurants
San Angelo,1020043,415356.8,438298.5,Otley Road,"Baildon, Shipley",West Yorkshire,BD17 7HB,Bradford District,NA,Restaurants
Bridge Tavern,1020034,416278.2,431868.8,Bowling Old Lane,Bradford,West Yorkshire,BD5 7JL,Bradford District,NA,Restaurants
The Brick,1020034,426069.4,433042.9,Tong Road,Leeds,West Yorkshire,LS12 3TP,Leeds District,NA,Restaurants
The Cricketers Arms,1020034,406339.6,441042.6,Coney Lane,Keighley,West Yorkshire,BD21 5JE,Bradford District,NA,Restaurants
The Sun Inn,1020034,411928.1,436947.1,Bradford Old Road,Bingley,West Yorkshire,BD16 1SA,Bradford District,NA,Restaurants
The Stone Trough,1020043,421210,440190,Harrogate Road,"Rawdon, Leeds",West Yorkshire,LS19 6LP,Leeds District,NA,Restaurants
The Thornhill,1020034,420840.3,436994.6,Town Gate,"Calverley, Pudsey",West Yorkshire,LS28 5NF,Leeds District,NA,Restaurants
Roebuck,1020034,405421,442823,Utley,Keighley,West Yorkshire,BD20 6EJ,Bradford District,Stonegate Pubs,Restaurants
The New Tyke,1020043,411378.2,432839.4,Thornton Road,"Thornton, Bradford",West Yorkshire,BD13 3DG,Bradford District,NA,Restaurants
Ivy House Inn,1020034,408329.2,428416.4,Shay Lane,Halifax,West Yorkshire,HX2 9BB,Calderdale District,NA,Restaurants
The Jug & Barrel,1020034,422420.2,434656.2,Town Street,"Stanningley, Pudsey",West Yorkshire,LS28 6EZ,Leeds District,NA,Restaurants
The Hitching Post,1020034,418643.9,437624.1,Leeds Road,"Idle, Bradford",West Yorkshire,BD10 9SX,Bradford District,Marstons,Restaurants
The Black Swan Hotel,1020034,415209,435867,Frizinghall Road,Bradford,West Yorkshire,BD9 4LD,Bradford District,NA,Restaurants
The Hare & Hounds,1020034,413546.8,435177.8,Toller Lane,Bradford,West Yorkshire,BD9 5NN,Bradford District,NA,Restaurants
Burlington Arms,1020034,406113.4,440987.4,Market Street,Keighley,West Yorkshire,BD21 5AD,Bradford District,NA,Restaurants
Rose & Crown,1020034,420332.6,445370.7,Bondgate,Otley,West Yorkshire,LS21 1AD,Leeds District,NA,Restaurants
The Busfeild Arms,1020034,409909.3,441949.2,Main Road,"East Morton, Keighley",West Yorkshire,BD20 5SP,Bradford District,NA,Restaurants
Butchers Arms,1020034,422222.4,433288.4,Church Lane,Pudsey,West Yorkshire,LS28 7RF,Leeds District,NA,Restaurants
The Three Horses,1020034,404519,440624,Fell Lane,Keighley,West Yorkshire,BD22 6BZ,Bradford District,NA,Restaurants
Shoulder of Mutton,1020034,411183.9,426893.5,Mutton Fold,Halifax,West Yorkshire,HX3 7EA,Calderdale District,NA,Restaurants
New Inn Charles Town Ltd,1020034,416262.2,438843,Otley Road,"Charlestown, Shipley",West Yorkshire,BD17 7JN,Bradford District,NA,Restaurants
Brown Horse Inn,1020034,412273.3,426881.4,Lane Ends,"Northowram, Halifax",West Yorkshire,HX3 7SD,Calderdale District,NA,Restaurants
Royal Oak,1020034,418206.7,436125.8,Stony Lane,Bradford,West Yorkshire,BD2 2HL,Bradford District,NA,Restaurants
The Marsh Inn,1020034,421306.6,433198.4,Uppermoor,Pudsey,West Yorkshire,LS28 7EX,Leeds District,NA,Restaurants
Savile Arms,1020034,418877,427083,Hunsworth Lane,Cleckheaton,West Yorkshire,BD19 4DX,Kirklees District,NA,Restaurants
