name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Chacha Maharaja,1020018,390797,413036,Town Centre,Rochdale,Greater Manchester,OL16 5DN,Rochdale District,,Takeaways
Desi Breakfast & Steak Bar,1020018,389704,412862,Milkstone Road,Rochdale,Greater Manchester,OL11 1ED,Rochdale District,,Takeaways
Al Qudds,1020018,389691,412684,Milkstone Road,Rochdale,Greater Manchester,OL11 1EB,Rochdale District,,Takeaways
Chesters,1020018,390140,413890,Yorkshire Street,Rochdale,Greater Manchester,OL12 0DR,Rochdale District,Chesters,Takeaways
Whippys Hand Made Pies,9470661,389805,414032,Whitworth Road,Rochdale,Greater Manchester,OL12 0RA,Rochdale District,,Takeaways
E-Cig & Gadget Shop,9470699,389802,413560,The Wheatsheaf Centre,Rochdale,Greater Manchester,OL16 1JZ,Rochdale District,,Convenience Stores
Leeds Postal Service,1020034,429523,433417,Wellington Street,Leeds,West Yorkshire,LS1 4JJ,Leeds District,,Restaurants
Dial A Roti,1020018,414385,431788,Great Horton Road,Bradford,West Yorkshire,BD7 3EU,Bradford District,,Takeaways
Heavenly Desserts,1020013,415234,432526,Town Centre,Bradford,West Yorkshire,BD7 1PU,Bradford District,Heavenly Desserts,Cafes
Hansons Cafe,1020013,393977,399086,Old Street,Ashton-under-Lyne,Greater Manchester,OL6 6BB,Tameside District,,Cafes
Florian Poirot,9470663,478716,471659,Town Centre,Malton,North Yorkshire,YO17 7AB,Ryedale District,,Speciality Outlets
Billions Lounge,1020034,430965,434364,Oatlands,Leeds,West Yorkshire,LS7 1BA,Leeds District,,Restaurants
Lazy Daisy's,1020018,430203,435154,Oatlands,Leeds,West Yorkshire,LS7 1NB,Leeds District,,Takeaways
Eat Your Greens,1020034,430586,433436,New York Street,Leeds,West Yorkshire,LS2 7DY,Leeds District,,Restaurants
Sultan Food Centre,9470699,429552,434866,,Leeds,West Yorkshire,LS2 9BN,Leeds District,,Convenience Stores
