PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
212,BD1 1UD,416300,433100,E08000032,E02002221,53.793959,-1.754042
213,BD1 1UE,416300,433100,E08000032,E02002221,53.793959,-1.754042
214,BD1 1UF,416400,433100,E08000032,E02002221,53.793956,-1.752524
215,BD1 1UG,416333,433171,E08000032,E02002221,53.794596,-1.753537
216,BD1 1UH,416351,432917,E08000032,E02002221,53.792313,-1.753277
217,BD1 1UJ,416400,433000,E08000032,E02002221,53.793057,-1.752529
218,BD1 1UL,416500,433100,E08000032,E02002221,53.793953,-1.751005
219,BD1 1UN,416457,433102,E08000032,E02002221,53.793972,-1.751658
220,BD1 1UP,416176,434018,E08000032,E02002221,53.802228,-1.75588
221,BD1 1UQ,416410,433171,E08000032,E02002221,53.794594,-1.752368
222,BD1 1UR,416335,433121,E08000032,E02002221,53.794147,-1.753509
223,BD1 1US,416566,433112,E08000032,E02002221,53.794073,-1.750006
224,BD1 1UY,416330,433119,E08000032,E02002221,53.794129,-1.753585
225,BD1 1UZ,416200,433000,E08000032,E02002221,53.793063,-1.755565
226,BD1 1WR,416200,433000,E08000032,E02002221,53.793063,-1.755565
227,BD1 1WW,416177,434017,E08000032,E02002221,53.802205,-1.755861
228,BD1 1WX,416178,434065,E08000032,E02002221,53.802636,-1.755843
229,BD1 1WY,416488,433401,E08000032,E02002221,53.796658,-1.751172
230,BD1 1WZ,416406,433168,E08000032,E02002221,53.794567,-1.752429
231,BD1 1XB,416177,434017,E08000032,E02002221,53.802205,-1.755861
232,BD1 1XG,416177,434017,E08000032,E02002221,53.802205,-1.755861
233,BD1 1XN,416488,433401,E08000032,E02002221,53.796658,-1.751172
234,BD1 1XP,416330,433119,E08000032,E02002221,53.794129,-1.753585
235,BD1 1XQ,416178,434065,E08000032,E02002221,53.802636,-1.755843
236,BD1 1XR,416330,433119,E08000032,E02002221,53.794129,-1.753585
237,BD1 1XS,416330,433119,E08000032,E02002221,53.794129,-1.753585
238,BD1 1XT,416330,433119,E08000032,E02002221,53.794129,-1.753585
239,BD1 1XU,416330,433119,E08000032,E02002221,53.794129,-1.753585
240,BD1 1XW,416176,434018,E08000032,E02002221,53.802228,-1.75588
241,BD1 1XY,416330,433119,E08000032,E02002221,53.794129,-1.753585
242,BD1 1XZ,416178,434065,E08000032,E02002221,53.802636,-1.755843
243,BD1 1YA,416400,433000,E08000032,E02002221,53.793057,-1.752529
244,BD1 1YE,416488,433401,E08000032,E02002221,53.796658,-1.751172
245,BD1 1YG,416400,433000,E08000032,E02002221,53.793057,-1.752529
246,BD1 1YH,416330,433119,E08000032,E02002221,53.794129,-1.753585
247,BD1 1YJ,416400,433000,E08000032,E02002221,53.793057,-1.752529
248,BD1 1YL,416400,433000,E08000032,E02002221,53.793057,-1.752529
249,BD1 1YN,416400,433000,E08000032,E02002221,53.793057,-1.752529
250,BD1 1YP,416178,434065,E08000032,E02002221,53.802636,-1.755843
251,BD1 1YR,416488,433401,E08000032,E02002221,53.796658,-1.751172
252,BD1 1YS,416335,433121,E08000032,E02002221,53.794147,-1.753509
253,BD1 1YT,416400,433000,E08000032,E02002221,53.793057,-1.752529
254,BD1 1YU,416330,433119,E08000032,E02002221,53.794129,-1.753585
255,BD1 1YW,416330,433119,E08000032,E02002221,53.794129,-1.753585
256,BD1 1YX,416400,433000,E08000032,E02002221,53.793057,-1.752529
257,BD1 1YY,416178,434065,E08000032,E02002221,53.802636,-1.755843
258,BD1 1YZ,416488,433401,E08000032,E02002221,53.796658,-1.751172
259,BD1 1ZB,416178,434065,E08000032,E02002221,53.802636,-1.755843
260,BD1 1ZX,416425,433171,E08000032,E02002221,53.794593,-1.75214
261,BD1 2AA,416257,433072,E08000032,E02002221,53.793723,-1.754699
262,BD1 2AB,416206,433083,E08000032,E02002221,53.793809,-1.755469
263,BD1 2AD,416132,433121,E08000032,E02002221,53.794153,-1.756591
264,BD1 2AE,415884,433300,E08000032,E02002221,53.795784,-1.76035
265,BD1 2AF,416013,433030,E08000032,E02002221,53.793353,-1.758405
266,BD1 2AG,416019,433028,E08000032,E02002221,53.793335,-1.758314
267,BD1 2AH,416129,433038,E08000032,E02002221,53.793422,-1.756644
268,BD1 2AJ,416088,433167,E08000032,E02002221,53.794568,-1.757256
269,BD1 2AL,416075,433168,E08000032,E02002221,53.794577,-1.757454
270,BD1 2AN,415841,433157,E08000032,E02002221,53.7945,-1.76101
271,BD1 2AP,416488,433401,E08000032,E02002221,53.796658,-1.751172
272,BD1 2AQ,416109,433121,E08000032,E02002221,53.794154,-1.75694
273,BD1 2AR,416202,433055,E08000032,E02002221,53.793558,-1.755532
274,BD1 2AS,416202,433054,E08000032,E02002221,53.793549,-1.755532
275,BD1 2AT,415862,433185,E08000032,E02002221,53.794736,-1.760686
276,BD1 2AU,415881,433238,E08000032,E02002221,53.795212,-1.760395
277,BD1 2AW,416050,433166,E08000032,E02002221,53.794575,-1.757836
278,BD1 2AX,416199,433056,E08000032,E02002221,53.793581,-1.75558
279,BD1 2AY,416236,433043,E08000032,E02002221,53.793449,-1.755016
280,BD1 2AZ,416290,433034,E08000032,E02002221,53.793366,-1.754197
281,BD1 2BA,416200,433000,E08000032,E02002221,53.793063,-1.755565
282,BD1 2BB,416200,433000,E08000032,E02002221,53.793063,-1.755565
283,BD1 2BD,416200,433000,E08000032,E02002221,53.793063,-1.755565
284,BD1 2BE,416200,433000,E08000032,E02002221,53.793063,-1.755565
